onset	duration	staging
0	0	1
30	0	8
60	0	8
90	0	8
120	0	8
150	0	8
180	0	8
210	0	8
240	0	8
270	0	8
300	0	8
330	0	8
360	0	8
390	0	8
420	0	8
450	0	8
480	0	8
510	0	8
540	0	8
570	0	8
600	0	8
630	0	8
660	0	8
690	0	8
720	0	8
750	0	8
780	0	8
810	0	8
840	0	8
870	0	8
900	0	8
930	0	8
960	0	8
990	0	8
1020	0	8
1050	0	8
1080	0	8
1110	0	8
1140	0	8
1170	0	8
1200	0	8
1230	0	8
1260	0	8
1290	0	8
1320	0	8
1350	0	8
1380	0	8
1410	0	8
1440	0	8
1470	0	8
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	1
1770	0	1
1800	0	1
1830	0	1
1860	0	1
1890	0	1
1920	0	1
1950	0	3
1980	0	3
2010	0	3
2040	0	3
2070	0	3
2100	0	3
2130	0	3
2160	0	3
2190	0	3
2220	0	3
2250	0	3
2280	0	4
2310	0	4
2340	0	4
2370	0	4
2400	0	4
2430	0	4
2460	0	4
2490	0	4
2520	0	4
2550	0	4
2580	0	4
2610	0	4
2640	0	4
2670	0	4
2700	0	4
2730	0	4
2760	0	4
2790	0	4
2820	0	1
2850	0	1
2880	0	1
2910	0	4
2940	0	4
2970	0	4
3000	0	4
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	4
3180	0	4
3210	0	1
3240	0	1
3270	0	1
3300	0	3
3330	0	3
3360	0	3
3390	0	1
3420	0	3
3450	0	1
3480	0	4
3510	0	1
3540	0	1
3570	0	1
3600	0	1
3630	0	1
3660	0	1
3690	0	1
3720	0	1
3750	0	1
3780	0	1
3810	0	1
3840	0	3
3870	0	3
3900	0	3
3930	0	1
3960	0	1
3990	0	1
4020	0	1
4050	0	1
4080	0	1
4110	0	1
4140	0	1
4170	0	1
4200	0	1
4230	0	1
4260	0	1
4290	0	1
4320	0	1
4350	0	1
4380	0	1
4410	0	1
4440	0	1
4470	0	1
4500	0	3
4530	0	3
4560	0	3
4590	0	3
4620	0	3
4650	0	3
4680	0	4
4710	0	4
4740	0	4
4770	0	4
4800	0	4
4830	0	4
4860	0	4
4890	0	4
4920	0	4
4950	0	4
4980	0	4
5010	0	4
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	4
5370	0	4
5400	0	5
5430	0	5
5460	0	5
5490	0	5
5520	0	5
5550	0	5
5580	0	5
5610	0	5
5640	0	5
5670	0	5
5700	0	5
5730	0	5
5760	0	5
5790	0	5
5820	0	5
5850	0	5
5880	0	5
5910	0	5
5940	0	5
5970	0	5
6000	0	5
6030	0	5
6060	0	5
6090	0	5
6120	0	5
6150	0	5
6180	0	5
6210	0	5
6240	0	5
6270	0	5
6300	0	5
6330	0	8
6360	0	8
6390	0	8
6420	0	8
6450	0	8
6480	0	8
6510	0	8
6540	0	8
6570	0	8
6600	0	5
6630	0	5
6660	0	5
6690	0	5
6720	0	5
6750	0	5
6780	0	5
6810	0	5
6840	0	5
6870	0	5
6900	0	5
6930	0	5
6960	0	5
6990	0	5
7020	0	5
7050	0	5
7080	0	5
7110	0	5
7140	0	5
7170	0	5
7200	0	5
7230	0	5
7260	0	1
7290	0	4
7320	0	4
7350	0	4
7380	0	4
7410	0	4
7440	0	4
7470	0	4
7500	0	4
7530	0	4
7560	0	5
7590	0	5
7620	0	5
7650	0	5
7680	0	5
7710	0	5
7740	0	5
7770	0	5
7800	0	5
7830	0	5
7860	0	5
7890	0	5
7920	0	5
7950	0	4
7980	0	5
8010	0	4
8040	0	4
8070	0	4
8100	0	4
8130	0	4
8160	0	4
8190	0	4
8220	0	4
8250	0	4
8280	0	4
8310	0	4
8340	0	4
8370	0	4
8400	0	4
8430	0	4
8460	0	4
8490	0	4
8520	0	4
8550	0	4
8580	0	4
8610	0	4
8640	0	4
8670	0	4
8700	0	4
8730	0	4
8760	0	4
8790	0	4
8820	0	4
8850	0	4
8880	0	4
8910	0	4
8940	0	4
8970	0	4
9000	0	4
9030	0	4
9060	0	4
9090	0	4
9120	0	4
9150	0	4
9180	0	4
9210	0	4
9240	0	4
9270	0	4
9300	0	4
9330	0	4
9360	0	4
9390	0	4
9420	0	4
9450	0	4
9480	0	4
9510	0	4
9540	0	4
9570	0	4
9600	0	4
9630	0	4
9660	0	4
9690	0	4
9720	0	4
9750	0	4
9780	0	4
9810	0	4
9840	0	5
9870	0	5
9900	0	5
9930	0	5
9960	0	5
9990	0	5
10020	0	5
10050	0	5
10080	0	5
10110	0	5
10140	0	5
10170	0	5
10200	0	5
10230	0	5
10260	0	5
10290	0	5
10320	0	5
10350	0	5
10380	0	5
10410	0	5
10440	0	5
10470	0	5
10500	0	4
10530	0	4
10560	0	4
10590	0	4
10620	0	4
10650	0	4
10680	0	1
10710	0	3
10740	0	8
10770	0	8
10800	0	8
10830	0	8
10860	0	3
10890	0	8
10920	0	8
10950	0	5
10980	0	8
11010	0	8
11040	0	8
11070	0	3
11100	0	4
11130	0	4
11160	0	4
11190	0	4
11220	0	4
11250	0	4
11280	0	4
11310	0	4
11340	0	4
