name	type	units	sampling frequency	eeg reference
F4:M1	EEG	uV	128	M1
C4:M1	EEG	uV	128	M1
O1:M2	EEG	uV	128	M2
E1:M2	EEG	uV	128	M2
E2:M1	EEG	uV	128	M1
F3:M2	EEG	uV	128	M2
C3:M2	EEG	uV	128	M2
O2:M1	EEG	uV	128	M1
ECG II	ECG	uV	256	N/A
E1	EEG	uV	128	N/A
E2	EEG	uV	128	N/A
EMG2:EMG3	EMG	uV	256	EMG3
EMG1:EMG3	EMG	uV	256	EMG3
