onset	duration	staging
0	0	6
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	3
300	0	4
330	0	4
360	0	4
390	0	4
420	0	4
450	0	4
480	0	4
510	0	4
540	0	4
570	0	4
600	0	4
630	0	4
660	0	4
690	0	4
720	0	4
750	0	4
780	0	4
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	4
990	0	4
1020	0	1
1050	0	3
1080	0	3
1110	0	4
1140	0	4
1170	0	4
1200	0	4
1230	0	4
1260	0	4
1290	0	1
1320	0	1
1350	0	3
1380	0	4
1410	0	1
1440	0	3
1470	0	4
1500	0	4
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	1
1770	0	3
1800	0	3
1830	0	4
1860	0	4
1890	0	4
1920	0	4
1950	0	4
1980	0	4
2010	0	4
2040	0	4
2070	0	1
2100	0	3
2130	0	4
2160	0	4
2190	0	4
2220	0	1
2250	0	1
2280	0	1
2310	0	3
2340	0	4
2370	0	4
2400	0	4
2430	0	4
2460	0	4
2490	0	4
2520	0	4
2550	0	4
2580	0	4
2610	0	4
2640	0	4
2670	0	4
2700	0	4
2730	0	4
2760	0	4
2790	0	4
2820	0	4
2850	0	4
2880	0	4
2910	0	4
2940	0	4
2970	0	4
3000	0	4
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	4
3180	0	4
3210	0	4
3240	0	4
3270	0	4
3300	0	5
3330	0	5
3360	0	5
3390	0	1
3420	0	4
3450	0	4
3480	0	4
3510	0	4
3540	0	4
3570	0	4
3600	0	4
3630	0	4
3660	0	4
3690	0	4
3720	0	4
3750	0	4
3780	0	4
3810	0	4
3840	0	4
3870	0	4
3900	0	4
3930	0	4
3960	0	4
3990	0	4
4020	0	4
4050	0	1
4080	0	1
4110	0	3
4140	0	4
4170	0	4
4200	0	1
4230	0	3
4260	0	5
4290	0	5
4320	0	5
4350	0	5
4380	0	5
4410	0	5
4440	0	5
4470	0	5
4500	0	5
4530	0	5
4560	0	5
4590	0	5
4620	0	5
4650	0	5
4680	0	5
4710	0	5
4740	0	5
4770	0	5
4800	0	5
4830	0	5
4860	0	1
4890	0	1
4920	0	1
4950	0	1
4980	0	1
5010	0	3
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	1
5220	0	1
5250	0	1
5280	0	1
5310	0	1
5340	0	1
5370	0	1
5400	0	1
5430	0	1
5460	0	1
5490	0	1
5520	0	1
5550	0	1
5580	0	1
5610	0	1
5640	0	1
5670	0	1
5700	0	1
5730	0	1
5760	0	1
5790	0	1
5820	0	1
5850	0	1
5880	0	1
5910	0	1
5940	0	1
5970	0	1
6000	0	1
6030	0	1
6060	0	1
6090	0	1
6120	0	1
6150	0	1
6180	0	1
6210	0	3
6240	0	4
6270	0	4
6300	0	4
6330	0	4
6360	0	4
6390	0	4
6420	0	4
6450	0	4
6480	0	4
6510	0	4
6540	0	4
6570	0	4
6600	0	4
6630	0	4
6660	0	4
6690	0	4
6720	0	4
6750	0	4
6780	0	4
6810	0	4
6840	0	4
6870	0	4
6900	0	4
6930	0	4
6960	0	4
6990	0	4
7020	0	4
7050	0	4
7080	0	4
7110	0	4
7140	0	4
7170	0	4
7200	0	4
7230	0	1
7260	0	4
7290	0	4
7320	0	4
7350	0	4
7380	0	4
7410	0	4
7440	0	4
7470	0	5
7500	0	5
7530	0	5
7560	0	5
7590	0	5
7620	0	5
7650	0	5
7680	0	5
7710	0	5
7740	0	5
7770	0	5
7800	0	5
7830	0	5
7860	0	5
7890	0	5
7920	0	5
7950	0	5
7980	0	5
8010	0	5
8040	0	5
8070	0	5
8100	0	5
8130	0	5
8160	0	1
8190	0	1
8220	0	3
8250	0	4
