name	type	units	sampling frequency	eeg reference
F4:A1	EEG	uV	128	A1
C4:A1	EEG	uV	128	A1
O1:A2	EEG	uV	128	A2
EOG1:A2	EOG	uV	128	A2
EOG2:A1	EOG	uV	128	A1
F3:A2	EEG	uV	128	A2
C3:A2	EEG	uV	128	A2
O2:A1	EEG	uV	128	A1
EMG1	EMG	uV	256	N/A
EMG2	EMG	uV	256	N/A
EMG3	EMG	uV	256	N/A
ECG II	ECG	uV	256	N/A
EOG1	EOG	uV	128	N/A
EOG2	EOG	uV	128	N/A
C3	EEG	uV	128	N/A
C4	EEG	uV	128	N/A
A1	EEG	uV	128	N/A
A2	EEG	uV	128	N/A
O1	EEG	uV	128	N/A
O2	EEG	uV	128	N/A
F3	EEG	uV	128	N/A
F4	EEG	uV	128	N/A
EMG2:EMG3	EMG	uV	256	EMG3
EMG1:EMG3	EMG	uV	256	EMG3
F3:C3	EEG	uV	128	C3
F4:C4	EEG	uV	128	C4
EOG2:EOG1	EOG	uV	128	EOG1
