onset	duration	staging
0	0	6
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	1
1230	0	1
1260	0	1
1290	0	1
1320	0	1
1350	0	1
1380	0	1
1410	0	1
1440	0	1
1470	0	1
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	3
1680	0	3
1710	0	3
1740	0	3
1770	0	3
1800	0	1
1830	0	1
1860	0	1
1890	0	1
1920	0	1
1950	0	1
1980	0	1
2010	0	3
2040	0	1
2070	0	3
2100	0	1
2130	0	3
2160	0	3
2190	0	4
2220	0	4
2250	0	4
2280	0	4
2310	0	4
2340	0	4
2370	0	4
2400	0	4
2430	0	4
2460	0	4
2490	0	4
2520	0	4
2550	0	4
2580	0	4
2610	0	4
2640	0	4
2670	0	4
2700	0	4
2730	0	4
2760	0	4
2790	0	4
2820	0	4
2850	0	1
2880	0	1
2910	0	1
2940	0	1
2970	0	1
3000	0	1
3030	0	1
3060	0	1
3090	0	1
3120	0	1
3150	0	1
3180	0	1
3210	0	1
3240	0	1
3270	0	1
3300	0	1
3330	0	1
3360	0	1
3390	0	1
3420	0	1
3450	0	1
3480	0	1
3510	0	1
3540	0	1
3570	0	3
3600	0	3
3630	0	4
3660	0	4
3690	0	4
3720	0	4
3750	0	4
3780	0	4
3810	0	4
3840	0	4
3870	0	4
3900	0	4
3930	0	4
3960	0	4
3990	0	4
4020	0	4
4050	0	4
4080	0	4
4110	0	4
4140	0	4
4170	0	4
4200	0	4
4230	0	4
4260	0	4
4290	0	4
4320	0	4
4350	0	4
4380	0	4
4410	0	4
4440	0	4
4470	0	4
4500	0	4
4530	0	4
4560	0	5
4590	0	4
4620	0	4
4650	0	4
4680	0	4
4710	0	4
4740	0	4
4770	0	5
4800	0	5
4830	0	5
4860	0	5
4890	0	4
4920	0	4
4950	0	5
4980	0	4
5010	0	4
5040	0	5
5070	0	5
5100	0	5
5130	0	5
5160	0	4
5190	0	5
5220	0	4
5250	0	5
5280	0	5
5310	0	4
5340	0	4
5370	0	4
5400	0	4
5430	0	4
5460	0	4
5490	0	5
5520	0	5
5550	0	5
5580	0	5
5610	0	4
5640	0	4
5670	0	4
5700	0	4
5730	0	5
5760	0	1
5790	0	1
5820	0	3
5850	0	4
5880	0	4
5910	0	4
5940	0	4
5970	0	4
6000	0	4
6030	0	4
6060	0	4
6090	0	4
6120	0	4
6150	0	4
6180	0	4
6210	0	4
6240	0	4
6270	0	4
6300	0	4
6330	0	4
6360	0	4
6390	0	4
6420	0	4
6450	0	4
6480	0	4
6510	0	4
6540	0	4
6570	0	4
6600	0	4
6630	0	4
6660	0	2
6690	0	2
6720	0	2
6750	0	2
6780	0	2
6810	0	2
6840	0	2
6870	0	2
6900	0	2
6930	0	2
6960	0	2
6990	0	2
7020	0	2
7050	0	2
7080	0	2
7110	0	2
7140	0	2
7170	0	2
7200	0	2
7230	0	2
7260	0	2
7290	0	2
7320	0	2
7350	0	1
7380	0	3
7410	0	4
7440	0	4
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	4
7890	0	4
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	4
8070	0	4
8100	0	4
8130	0	4
8160	0	4
8190	0	4
8220	0	4
8250	0	4
