onset	duration	staging
0	0	1
30	0	1
60	0	8
90	0	8
120	0	8
150	0	8
180	0	8
210	0	8
240	0	8
270	0	8
300	0	8
330	0	8
360	0	8
390	0	8
420	0	8
450	0	8
480	0	8
510	0	8
540	0	8
570	0	8
600	0	8
630	0	8
660	0	8
690	0	8
720	0	8
750	0	8
780	0	8
810	0	8
840	0	8
870	0	8
900	0	8
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	1
1230	0	1
1260	0	1
1290	0	1
1320	0	1
1350	0	1
1380	0	1
1410	0	1
1440	0	1
1470	0	1
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	1
1770	0	1
1800	0	3
1830	0	1
1860	0	3
1890	0	3
1920	0	3
1950	0	4
1980	0	4
2010	0	4
2040	0	4
2070	0	4
2100	0	4
2130	0	1
2160	0	1
2190	0	1
2220	0	1
2250	0	1
2280	0	1
2310	0	1
2340	0	1
2370	0	1
2400	0	1
2430	0	1
2460	0	1
2490	0	1
2520	0	1
2550	0	1
2580	0	3
2610	0	3
2640	0	3
2670	0	4
2700	0	4
2730	0	4
2760	0	4
2790	0	4
2820	0	4
2850	0	4
2880	0	4
2910	0	4
2940	0	4
2970	0	1
3000	0	3
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	3
3180	0	3
3210	0	4
3240	0	4
3270	0	4
3300	0	4
3330	0	4
3360	0	1
3390	0	1
3420	0	1
3450	0	1
3480	0	1
3510	0	1
3540	0	1
3570	0	1
3600	0	1
3630	0	1
3660	0	1
3690	0	1
3720	0	1
3750	0	1
3780	0	1
3810	0	1
3840	0	1
3870	0	3
3900	0	3
3930	0	3
3960	0	1
3990	0	1
4020	0	1
4050	0	1
4080	0	1
4110	0	1
4140	0	1
4170	0	1
4200	0	1
4230	0	1
4260	0	3
4290	0	1
4320	0	1
4350	0	3
4380	0	1
4410	0	1
4440	0	1
4470	0	1
4500	0	1
4530	0	1
4560	0	1
4590	0	1
4620	0	1
4650	0	1
4680	0	1
4710	0	1
4740	0	1
4770	0	1
4800	0	1
4830	0	1
4860	0	1
4890	0	3
4920	0	4
4950	0	4
4980	0	4
5010	0	4
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	3
5370	0	3
5400	0	3
5430	0	3
5460	0	1
5490	0	1
5520	0	1
5550	0	1
5580	0	1
5610	0	3
5640	0	4
5670	0	4
5700	0	4
5730	0	4
5760	0	4
5790	0	4
5820	0	4
5850	0	4
5880	0	4
5910	0	4
5940	0	4
5970	0	3
6000	0	3
6030	0	4
6060	0	4
6090	0	4
6120	0	4
6150	0	4
6180	0	4
6210	0	4
6240	0	4
6270	0	4
6300	0	4
6330	0	4
6360	0	8
6390	0	8
6420	0	8
6450	0	8
6480	0	8
6510	0	8
6540	0	8
6570	0	8
6600	0	8
6630	0	4
6660	0	3
6690	0	8
6720	0	4
6750	0	4
6780	0	4
6810	0	4
6840	0	4
6870	0	4
6900	0	8
6930	0	8
6960	0	4
6990	0	4
7020	0	4
7050	0	4
7080	0	4
7110	0	4
7140	0	4
7170	0	4
7200	0	4
7230	0	4
7260	0	4
7290	0	4
7320	0	8
7350	0	4
7380	0	4
7410	0	4
7440	0	4
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	4
7890	0	8
7920	0	4
7950	0	2
7980	0	2
8010	0	2
8040	0	2
8070	0	2
8100	0	2
8130	0	2
8160	0	2
8190	0	2
8220	0	2
8250	0	2
8280	0	2
8310	0	2
8340	0	2
8370	0	1
8400	0	3
8430	0	2
8460	0	2
8490	0	2
8520	0	2
8550	0	2
8580	0	2
8610	0	2
8640	0	2
8670	0	2
8700	0	2
8730	0	2
8760	0	2
8790	0	2
8820	0	4
8850	0	4
8880	0	4
8910	0	4
8940	0	4
8970	0	4
9000	0	4
9030	0	4
9060	0	4
9090	0	4
9120	0	4
9150	0	4
9180	0	4
9210	0	4
9240	0	4
9270	0	4
9300	0	4
9330	0	4
9360	0	4
9390	0	4
9420	0	4
9450	0	4
9480	0	4
9510	0	4
9540	0	4
9570	0	4
9600	0	4
9630	0	4
9660	0	4
9690	0	4
9720	0	4
9750	0	4
9780	0	4
9810	0	4
9840	0	4
9870	0	4
9900	0	4
9930	0	4
9960	0	4
9990	0	4
10020	0	4
10050	0	4
10080	0	4
10110	0	4
10140	0	5
10170	0	5
10200	0	5
10230	0	5
10260	0	5
10290	0	5
10320	0	5
10350	0	5
10380	0	5
10410	0	5
10440	0	5
10470	0	5
10500	0	5
10530	0	5
10560	0	5
10590	0	5
10620	0	5
10650	0	5
10680	0	5
10710	0	5
10740	0	5
10770	0	5
10800	0	5
10830	0	5
10860	0	4
10890	0	5
10920	0	1
10950	0	5
10980	0	5
11010	0	5
11040	0	5
11070	0	5
11100	0	5
11130	0	5
11160	0	5
11190	0	5
11220	0	5
11250	0	5
11280	0	5
11310	0	5
11340	0	5
11370	0	5
11400	0	5
11430	0	5
11460	0	5
11490	0	5
11520	0	5
11550	0	5
11580	0	5
11610	0	5
11640	0	4
11670	0	4
11700	0	8
11730	0	4
11760	0	4
11790	0	4
11820	0	4
11850	0	4
11880	0	4
11910	0	4
11940	0	4
11970	0	4
12000	0	4
12030	0	4
12060	0	4
12090	0	4
12120	0	4
12150	0	4
12180	0	5
12210	0	5
12240	0	5
12270	0	5
12300	0	5
12330	0	5
12360	0	5
12390	0	5
12420	0	5
12450	0	5
12480	0	5
12510	0	5
12540	0	5
12570	0	5
12600	0	5
12630	0	5
12660	0	5
12690	0	5
12720	0	5
12750	0	5
12780	0	5
12810	0	5
12840	0	5
12870	0	5
12900	0	5
12930	0	5
12960	0	5
12990	0	5
13020	0	5
13050	0	5
13080	0	5
13110	0	5
13140	0	5
13170	0	5
13200	0	5
13230	0	5
13260	0	5
13290	0	5
13320	0	5
13350	0	5
13380	0	5
13410	0	5
13440	0	5
13470	0	5
13500	0	5
13530	0	5
13560	0	5
13590	0	1
13620	0	1
13650	0	3
13680	0	3
13710	0	4
13740	0	4
13770	0	4
13800	0	4
13830	0	4
13860	0	4
13890	0	4
13920	0	5
13950	0	5
13980	0	5
14010	0	5
14040	0	5
14070	0	5
14100	0	5
14130	0	5
14160	0	5
14190	0	5
14220	0	5
14250	0	5
14280	0	5
14310	0	4
14340	0	4
14370	0	1
14400	0	1
14430	0	1
14460	0	3
14490	0	2
14520	0	2
14550	0	2
14580	0	2
14610	0	2
14640	0	2
14670	0	2
14700	0	2
14730	0	2
14760	0	2
14790	0	2
14820	0	2
14850	0	2
14880	0	2
14910	0	2
14940	0	2
14970	0	2
15000	0	2
15030	0	2
15060	0	2
15090	0	2
15120	0	2
15150	0	2
15180	0	2
15210	0	2
15240	0	2
15270	0	2
15300	0	2
15330	0	2
15360	0	2
15390	0	2
15420	0	2
15450	0	2
15480	0	2
15510	0	2
15540	0	2
15570	0	2
15600	0	2
15630	0	2
15660	0	2
15690	0	2
15720	0	2
15750	0	2
15780	0	2
15810	0	2
15840	0	2
15870	0	2
15900	0	2
15930	0	2
15960	0	2
15990	0	2
16020	0	2
16050	0	2
16080	0	2
16110	0	2
16140	0	2
16170	0	2
16200	0	2
16230	0	2
16260	0	2
16290	0	2
16320	0	2
16350	0	2
16380	0	2
16410	0	2
16440	0	2
16470	0	2
16500	0	2
16530	0	2
16560	0	2
16590	0	2
16620	0	2
16650	0	2
16680	0	2
16710	0	2
16740	0	2
16770	0	2
16800	0	2
16830	0	2
16860	0	3
16890	0	2
16920	0	2
16950	0	2
16980	0	2
17010	0	2
17040	0	2
17070	0	3
17100	0	3
17130	0	4
17160	0	4
17190	0	4
17220	0	4
17250	0	4
17280	0	4
17310	0	4
